display_country,continent,value
China,Asia,29484299915
UK,Europe,4486451448
India,Asia,119526055008
USA,Americas,8400000000
Korea South,Asia,7106500000
Malaysia,Asia,1704437564
Japan,Asia,4712286544
Indonesia,Asia,14466835210
Philippines,Asia,39096890142
