sacc_code,country,year,departures,display_country
8305,Honduras,2004-05,10,Honduras
8306,Mexico,2004-05,190,Mexico
8307,Nicaragua,2004-05,20,Nicaragua
8308,Panama,2004-05,10,Panama
8404,Bahamas,2004-05,10,Bahamas
8405,Barbados,2004-05,10,Barbados
8406,Cayman Islands,2004-05,0,Cayman Islands
8407,Cuba,2004-05,0,Cuba
8408,Dominica,2004-05,0,Dominica
8411,Dominican Rep,2004-05,10,Dominican Rep
8412,Grenada,2004-05,10,Grenada
8413,Guadeloupe,2004-05,0,Guadeloupe
8414,Haiti,2004-05,0,Haiti
8415,Jamaica,2004-05,20,Jamaica
8416,Martinique,2004-05,0,Martinique
8421,Puerto Rico,2004-05,10,Puerto Rico
8423,St Lucia,2004-05,0,St Lucia
8424,St Vinc/Grenad,2004-05,0,St Vinc/Grenad
8425,Trinidad/Tobago,2004-05,30,Trinidad/Tobago
8428,"Virgin Is, US",2004-05,0,"Virgin Is, US"
8434,Curacao,2004-05,0,Curacao
9101,Benin,2004-05,0,Benin
9103,Cameroon,2004-05,10,Cameroon
9104,Cabo Verde,2004-05,10,Cabo Verde
9107,"Congo, Rep",2004-05,10,"Congo, Rep"
9108,"Congo, Dem Rep",2004-05,10,"Congo, Dem Rep"
9111,Cote d'Ivoire,2004-05,10,Cote d'Ivoire
9113,Gabon,2004-05,0,Gabon
9114,Gambia,2004-05,0,Gambia
9115,Ghana,2004-05,90,Ghana
9116,Guinea,2004-05,0,Guinea
9118,Liberia,2004-05,0,Liberia
9121,Mali,2004-05,0,Mali
9123,Niger,2004-05,0,Niger
9124,Nigeria,2004-05,120,Nigeria
9126,Senegal,2004-05,10,Senegal
9127,Sierra Leone,2004-05,10,Sierra Leone
9128,Togo,2004-05,0,Togo
9201,Angola,2004-05,10,Angola
9202,Botswana,2004-05,120,Botswana
9203,Burundi,2004-05,0,Burundi
9205,Djibouti,2004-05,0,Djibouti
9206,Eritrea,2004-05,20,Eritrea
9207,Ethiopia,2004-05,50,Ethiopia
9208,Kenya,2004-05,340,Kenya
9211,Lesotho,2004-05,0,Lesotho
9212,Madagascar,2004-05,10,Madagascar
9213,Malawi,2004-05,30,Malawi
9214,Mauritius,2004-05,240,Mauritius
9216,Mozambique,2004-05,30,Mozambique
9217,Namibia,2004-05,20,Namibia
9218,Reunion,2004-05,10,Reunion
9221,Rwanda,2004-05,10,Rwanda
9223,Seychelles,2004-05,50,Seychelles
9224,Somalia,2004-05,100,Somalia
9225,South Africa,2004-05,1900,South Africa
9226,Eswatini,2004-05,10,Eswatini
9227,Tanzania,2004-05,50,Tanzania
9228,Uganda,2004-05,60,Uganda
9231,Zambia,2004-05,170,Zambia
9232,Zimbabwe,2004-05,360,Zimbabwe
1102,Norfolk Island,2005-06,10,Norfolk Island
1201,New Zealand,2005-06,14680,New Zealand
1301,New Caledonia,2005-06,120,New Caledonia
1302,PNG,2005-06,900,PNG
1303,Solomon Islands,2005-06,120,Solomon Islands
1304,Vanuatu,2005-06,90,Vanuatu
1401,Guam,2005-06,10,Guam
1402,Kiribati,2005-06,70,Kiribati
1403,Marshall Is,2005-06,10,Marshall Is
1404,"Micronesia, F S",2005-06,10,"Micronesia, F S"
1405,Nauru,2005-06,40,Nauru
1406,N Mariana Is,2005-06,0,N Mariana Is
1407,Palau,2005-06,10,Palau
1501,Cook Islands,2005-06,170,Cook Islands
1502,Fiji,2005-06,980,Fiji
1503,French Poly,2005-06,40,French Poly
1504,Niue,2005-06,20,Niue
1505,Samoa,2005-06,560,Samoa
1506,Samoa American,2005-06,20,Samoa American
1507,Tokelau,2005-06,10,Tokelau
1508,Tonga,2005-06,250,Tonga
1511,Tuvalu,2005-06,20,Tuvalu
1512,Wallis/Futuna,2005-06,0,Wallis/Futuna
1599,"Polynesia, nec",2005-06,0,"Polynesia, nec"
2100,"UK, CIs & IOM",2005-06,17840,UK
2201,Ireland,2005-06,2520,Ireland
2301,Austria,2005-06,370,Austria
2302,Belgium,2005-06,200,Belgium
2303,France,2005-06,1900,France
2304,Germany,2005-06,2860,Germany
2306,Luxembourg,2005-06,10,Luxembourg
2307,Monaco,2005-06,10,Monaco
2308,Netherlands,2005-06,1020,Netherlands
2311,Switzerland,2005-06,660,Switzerland
2401,Denmark,2005-06,480,Denmark
2402,Faroe Islands,2005-06,0,Faroe Islands
2403,Finland,2005-06,260,Finland
