continent,departures,pct
Africa,136970,3.4680514903227766
Americas,369270,9.3498384597466
Asia,2010800,50.91303158896867
Europe,873090,22.10645452059512
Middle East,149460,3.7842956541114274
Oceania,409890,10.378328286255407
